items,freq
5,300526
6,254644
"6,5",144638
"6,10",123125
"6,10,5",85554
"6,3",135419
"6,3,5",85398
"6,3,10",78614
"6,3,10,5",57888
"6,4",104296
"6,4,5",68611
"6,4,10",63940
"6,4,3",67447
11,221968
"11,5",120463
"11,10",109368
"11,10,5",75044
"11,3",104711
"11,3,5",69704
"11,3,10",64859
"11,4",101393
"11,4,5",65869
"11,4,10",63023
"11,4,3",60112
"11,6",101710
"11,6,5",74061
"11,6,10",63778
"11,6,3",68762
"11,6,4",55992
"11,8",94764
"11,8,5",64475
"11,8,10",57795
"11,7",80441
"11,7,5",56706
"11,7,4",60483
"11,16",89569
"11,16,5",61220
"11,16,10",56883
"11,16,3",60994
13,185167
"13,5",103296
"13,10",98381
"13,10,5",67265
"13,3",80060
"13,4",77424
"13,6",83215
"13,6,5",60190
"13,8",81756
"13,8,5",57574
"13,7",71904
"13,16",68969
"13,11",78959
"13,11,5",56123
"13,9",69071
"13,12",77362
"13,12,5",56221
"13,21",63220
17,166405
"17,5",81374
"17,10",77503
"17,3",70157
"17,4",93874
"17,6",66175
"17,8",59150
"17,7",86921
"17,7,4",63512
"17,16",64878
"17,11",59333
"17,9",64656
"17,12",64402
"17,21",58526
"17,14",55969
20,141429
"20,5",70754
"20,10",66949
"20,3",92772
"20,4",65744
"20,6",79338
"20,6,3",62969
"20,7",57220
"20,16",80576
"20,16,3",57860
"20,11",64027
"20,9",59115
"20,21",77076
"20,21,3",56759
"20,21,16",57096
"20,14",57791
"20,23",56859
28,126722
"28,5",55567
"28,3",64880
"28,4",68380
"28,6",59539
"28,7",61438
29,113668
"29,5",60474
"29,10",61329
"29,3",55806
"29,4",76084
"29,7",65253
41,103820
"41,3",67577
35,91271
36,83654
44,80068
47,73295
10,290313
"10,5",151749
8,253899
"8,5",127861
"8,10",112902
"8,10,5",76468
"8,3",100124
"8,3,5",65794
"8,3,10",61317
"8,4",89808
"8,4,5",59679
"8,4,10",56584
"8,6",101382
"8,6,5",71067
"8,6,10",61442
"8,6,3",64713
9,212480
"9,5",103869
"9,10",97631
"9,10,5",65356
"9,3",115605
"9,3,5",68740
"9,3,10",65366
"9,4",86204
"9,4,3",58998
"9,6",85455
"9,6,5",60637
"9,6,3",67673
